protein	acc	hit	species	domain	phylum	category	length	score	align_length	num_prots	prot_ids	protein_locs
OLC33654.1	GCA_001917995.1_ASM191799v1	Thaumarchaeota archaeon 13_1_40CM_4_38_7	Archaea	TACK group	COG0085	PRIMARY	1115	993.0	1049	1	OLC33654.1	593.5
ELZ06356.1	GCA_000337135.1_ASM33713v1	Natrialba chahannaoensis JCM 10990	Archaea	Euryarchaeota	COG0085	SECO	526	300.3	447	1	1	1
ELZ06355.1	GCA_000337135.1_ASM33713v1	Natrialba chahannaoensis JCM 10990	Archaea	Euryarchaeota	COG0085	MAIN	609	658.0	1051	2	ELZ06356.1;ELZ06355.1	291.5;817.5
BAI81234.1	GCA_000010985.1_ASM1098v1	Deferribacter desulfuricans SSM1	Bacteria	Deferribacteres	COG0085	MAIN	1315	2129.9	2161	2	BAI80920.1;BAI81234.1	2140.0;594.5
BAI80920.1	GCA_000010985.1_ASM1098v1	Deferribacter desulfuricans SSM1	Bacteria	Deferribacteres	COG0085	SECO	290	9.5	174	1	1	1
BAI79713.1	GCA_000010985.1_ASM1098v1	Deferribacter desulfuricans SSM1	Bacteria	Deferribacteres	COG0085	NEXT	311	12.7	1708	1	1	1
ANC71889.1	GCA_001638825.1_ASM163882v1	Deinococcus radiodurans R1	Bacteria	Terrabacteria group	COG0085	PRIMARY	1159	1846.9	1059	1	ANC71889.1	599.5
ADX56703.1	GCA_000176935.3_ASM17693v3	Burkholderia sp. CCGE1001	Bacteria	Proteobacteria	COG0085	PRIMARY	1368	2075.3	1053	1	ADX56703.1	589.5
DAPE01000011.1_47	GCA_002502045.1_ASM250204v1	Candidatus Parvarchaeota archaeon UBA573	Archaea	DPANN group	COG0085	MAIN	601	468.5	1040	2	DAPE01000011.1_48;DAPE01000011.1_47	300.0;833.5
DAPE01000011.1_48	GCA_002502045.1_ASM250204v1	Candidatus Parvarchaeota archaeon UBA573	Archaea	DPANN group	COG0085	SECO	493	234.3	448	1	1	1
MKFG01000007.1_82	GCA_002215305.1_ASM221530v1	Halorubrum lacusprofundi	Archaea	Euryarchaeota	COG0085	MAIN	610	638.8	1043	2	MKFG01000007.1_83;MKFG01000007.1_82	295.5;817.5
MKFG01000007.1_83	GCA_002215305.1_ASM221530v1	Halorubrum lacusprofundi	Archaea	Euryarchaeota	COG0085	SECO	522	289.9	439	1	1	1
JQKN01000001.1_624	GCA_000746075.1_ASM74607v1	Methanobacterium arcticum	Archaea	Euryarchaeota	COG0085	SECO	500	313.7	445	1	1	1
JQKN01000001.1_625	GCA_000746075.1_ASM74607v1	Methanobacterium arcticum	Archaea	Euryarchaeota	COG0085	MAIN	605	695.7	1042	2	JQKN01000001.1_624;JQKN01000001.1_625	299.5;818.0
SHM68887.1	GCA_900142945.1_IMG-taxon_2703719236_annotated_assembly	Fibrobacter sp. UWB7	Bacteria	FCB group	COG0085	PRIMARY	1429	1891.0	1049	1	SHM68887.1	591.5
DDZW01000091.1_34	GCA_002346505.1_ASM234650v1	Latescibacteria bacterium UBA2998	Bacteria	FCB group	COG0085	PRIMARY	1256	2079.4	1050	1	DDZW01000091.1_34	592.0
ADE05023.1	GCA_000025685.1_ASM2568v1	Haloferax volcanii DS2	Archaea	Euryarchaeota	COG0085	SECO	521	294.6	447	1	1	1
ADE02778.1	GCA_000025685.1_ASM2568v1	Haloferax volcanii DS2	Archaea	Euryarchaeota	COG0085	MAIN	609	661.5	1051	2	ADE05023.1;ADE02778.1	291.5;817.5
PAU85488.1	GCA_002286985.1_ASM228698v1	Halorubrum sp. WN019	Archaea	Euryarchaeota	COG0085	SECO	521	292.5	439	1	1	1
PAU85487.1	GCA_002286985.1_ASM228698v1	Halorubrum sp. WN019	Archaea	Euryarchaeota	COG0085	MAIN	609	638.5	1043	2	PAU85488.1;PAU85487.1	295.5;817.5
EFG35395.1	GCA_000163915.2_ASM16391v2	Fusobacterium nucleatum subsp. vincentii 3_1_27	Bacteria	Fusobacteria	COG0085	PRIMARY	1184	1974.8	1067	1	EFG35395.1	600.5
ASS38958.1	GCA_002243405.1_ASM224340v1	Fusobacterium sp. oral taxon 203	Bacteria	Fusobacteria	COG0085	PRIMARY	1184	1977.0	1067	1	ASS38958.1	600.5
ASM38046.1	GCA_002220755.1_ASM222075v1	Campylobacter sputorum bv. paraureolyticus LMG 11764	Bacteria	Proteobacteria	COG0085	PRIMARY	1379	1994.6	1057	1	ASM38046.1	591.5
KYH38369.1	GCA_001593855.1_ASM159385v1	Candidatus Bathyarchaeota archaeon B25	Archaea	TACK group	COG0085	PRIMARY	1127	1031.7	1048	1	KYH38369.1	595.0
ACH82744.1	GCA_000020825.1_ASM2082v1	Acidithiobacillus ferrooxidans ATCC 53993	Bacteria	Proteobacteria	COG0085	PRIMARY	1362	2125.4	1055	1	ACH82744.1	590.5
ADU97537.1	GCA_000185805.1_ASM18580v1	Thermovibrio ammonificans HB-1	Bacteria	Aquificae	COG0085	PRIMARY	1449	1977.8	1064	1	ADU97537.1	596.0
ACX91442.1	GCA_000024745.1_ASM2474v1	Sulfolobus solfataricus 98/2	Archaea	TACK group	COG0085	PRIMARY	1124	1072.0	1048	1	ACX91442.1	596.0
SNV94349.1	GCA_900187235.1_52184_D01	Corynebacterium urealyticum	Bacteria	Terrabacteria group	COG0085	PRIMARY	1170	2060.7	1068	1	SNV94349.1	599.0
OHA81090.1	GCA_001823535.1_ASM182353v1	Candidatus Yonathbacteria bacterium RIFCSPHIGHO2_02_FULL_44_14	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1052	1725.6	1049	1	OHA81090.1	593.5
ABK78187.1	GCA_000200715.1_ASM20071v1	Cenarchaeum symbiosum A	Archaea	TACK group	COG0085	PRIMARY	1115	963.1	1051	1	ABK78187.1	593.5
LKML01000041.1_6	GCA_001563795.1_ASM156379v1	Haloferacaceae archaeon B1-Br10_E2g22	Archaea	Euryarchaeota	COG0085	MAIN	609	652.0	1050	2	LKML01000041.1_5;LKML01000041.1_6	292.0;817.5
LKML01000041.1_5	GCA_001563795.1_ASM156379v1	Haloferacaceae archaeon B1-Br10_E2g22	Archaea	Euryarchaeota	COG0085	SECO	523	294.0	446	1	1	1
BAG13557.1	GCA_000146025.1_ASM14602v1	uncultured Termite group 1 bacterium phylotype Rs-D17	Bacteria	Elusimicrobia	COG0085	PRIMARY	1257	1898.8	1060	1	BAG13557.1	599.0
ACF13642.1	GCA_000020525.1_ASM2052v1	Chloroherpeton thalassium ATCC 35110	Bacteria	FCB group	COG0085	PRIMARY	1295	1973.8	1049	1	ACF13642.1	592.5
OGS24587.1	GCA_001800525.1_ASM180052v1	Elusimicrobia bacterium RIFOXYB2_FULL_50_12	Bacteria	Elusimicrobia	COG0085	PRIMARY	1267	1898.7	1061	1	OGS24587.1	599.5
OGC83375.1	GCA_001775405.1_ASM177540v1	candidate division Zixibacteria bacterium RBG_19FT_COMBO_42_43	Bacteria	FCB group	COG0085	PRIMARY	1256	2094.0	1050	1	OGC83375.1	590.0
LKND01000056.1_17	GCA_001564275.1_ASM156427v1	Natrialbaceae archaeon Tc-Br11_E2g14	Archaea	Euryarchaeota	COG0085	MAIN	610	661.2	1050	2	LKND01000056.1_18;LKND01000056.1_17	292.0;844.5
LKND01000056.1_18	GCA_001564275.1_ASM156427v1	Natrialbaceae archaeon Tc-Br11_E2g14	Archaea	Euryarchaeota	COG0085	SECO	525	297.7	446	1	1	1
CBN86314.1	GCA_000196295.1_ASM19629v1	Neisseria lactamica 020-06	Bacteria	Proteobacteria	COG0085	PRIMARY	1392	2103.3	1053	1	CBN86314.1	589.5
BBA49853.1	GCA_002356455.1_ASM235645v1	Fusobacterium varium	Bacteria	Fusobacteria	COG0085	PRIMARY	1166	1974.8	1067	1	BBA49853.1	600.5
OGB87071.1	GCA_001772355.1_ASM177235v1	candidate division WOR-1 bacterium RIFCSPHIGHO2_02_FULL_45_12	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1082	1904.0	1058	1	OGB87071.1	605.0
MPNJ01000005.1_233	GCA_002238965.1_ASM223896v1	Nitrospinae bacterium bin107	Bacteria	Nitrospinae/Tectomicrobia group	COG0085	PRIMARY	1349	2127.2	1055	1	MPNJ01000005.1_233	590.5
ACR71319.1	GCA_000146185.1_ASM14618v1	[Eubacterium] eligens ATCC 27750	Bacteria	Terrabacteria group	COG0085	PRIMARY	1325	2127.8	1097	1	ACR71319.1	612.5
AFM03207.1	GCA_000265505.1_ASM26550v1	Bernardetia litoralis DSM 6794	Bacteria	FCB group	COG0085	PRIMARY	1287	1985.8	1048	1	AFM03207.1	591.0
AII48674.1	GCA_000737595.1_ASM73759v1	Synechococcus sp. KORDI-52	Bacteria	Terrabacteria group	COG0085	PRIMARY	1097	1969.2	1054	1	AII48674.1	603.0
BAL28538.1	GCA_000284135.1_ASM28413v1	Synechocystis sp. PCC 6803 substr. GT-I	Bacteria	Terrabacteria group	COG0085	PRIMARY	1102	2010.3	1055	1	BAL28538.1	607.5
KXB00202.1	GCA_001549125.1_SCGC-AAA261C02	candidate divison MSBL1 archaeon SCGC-AAA261C02	Archaea	Euryarchaeota	COG0085	PRIMARY	1099	1016.1	1045	1	KXB00202.1	596.5
AKE26385.1	GCA_000978535.1_ASM97853v1	Thermotoga maritima	Bacteria	Thermotogae	COG0085	PRIMARY	1263	1847.8	1065	1	AKE26385.1	594.5
OUV68948.1	GCA_002172375.1_ASM217237v1	Euryarchaeota archaeon TMED129	Archaea	Euryarchaeota	COG0085	PRIMARY	1228	887.3	1041	1	OUV68948.1	599.5
LURZ01000038.1_19	GCA_001629255.1_ASM162925v1	Marine group II euryarchaeote REDSEA-S42_B7	Archaea	Euryarchaeota	COG0085	MAIN	1053	631.9	1033	2	LURZ01000038.1_18;LURZ01000038.1_19	1045.0;524.5
LURZ01000038.1_18	GCA_001629255.1_ASM162925v1	Marine group II euryarchaeote REDSEA-S42_B7	Archaea	Euryarchaeota	COG0085	SECO	173	218.8	148	1	1	1
AQVH01000004.1_9	GCA_000375605.1_ASM37560v1	crenarchaeote SCGC AAA261-G18	Archaea	TACK group	COG0085	PRIMARY	1119	1014.4	1044	1	AQVH01000004.1_9	597.0
ELY29870.1	GCA_000337875.1_ASM33787v1	Natrialba magadii ATCC 43099	Archaea	Euryarchaeota	COG0085	SECO	526	299.3	447	1	1	1
ELY29869.1	GCA_000337875.1_ASM33787v1	Natrialba magadii ATCC 43099	Archaea	Euryarchaeota	COG0085	MAIN	609	658.6	1051	2	ELY29870.1;ELY29869.1	291.5;817.5
OLD55736.1	GCA_001919285.1_ASM191928v1	archaeon 13_1_40CM_2_52_13	Archaea	unclassified Archaea	COG0085	PRIMARY	1115	988.4	1044	1	OLD55736.1	597.0
ABU81833.1	GCA_000017945.1_ASM1794v1	Ignicoccus hospitalis KIN4/I	Archaea	TACK group	COG0085	PRIMARY	1132	994.8	1045	1	ABU81833.1	596.5
OIO26793.1	GCA_001871605.1_ASM187160v1	Candidatus Micrarchaeota archaeon CG1_02_55_41	Archaea	DPANN group	COG0085	MAIN	602	571.1	1043	2	OIO26792.1;OIO26793.1	298.0;845.0
OIO26792.1	GCA_001871605.1_ASM187160v1	Candidatus Micrarchaeota archaeon CG1_02_55_41	Archaea	DPANN group	COG0085	SECO	487	271.6	444	1	1	1
OLD78157.1	GCA_001919675.1_ASM191967v1	archaeon 13_1_20CM_52_20	Archaea	unclassified Archaea	COG0085	PRIMARY	1115	983.2	1046	1	OLD78157.1	596.0
BAB77960.1	GCA_000009705.1_ASM970v1	Nostoc sp. PCC 7120	Bacteria	Terrabacteria group	COG0085	PRIMARY	1131	2022.6	1052	1	BAB77960.1	596.0
LT700188.1_1110	GCA_900155405.1_PRJEB18760	Negativicoccus massiliensis	Bacteria	Terrabacteria group	COG0085	PRIMARY	1325	2136.9	1116	1	LT700188.1_1110	621.0
AIJ05746.1	GCA_000739065.1_ASM73906v1	Methanocaldococcus bathoardescens	Archaea	Euryarchaeota	COG0085	MAIN	633	702.3	1057	2	AIJ05747.1;AIJ05746.1	299.5;834.0
AIJ05747.1	GCA_000739065.1_ASM73906v1	Methanocaldococcus bathoardescens	Archaea	Euryarchaeota	COG0085	SECO	497	330.0	441	1	1	1
ADU66670.1	GCA_000177635.2_ASM17763v2	Desulfurispirillum indicum S5	Bacteria	Chrysiogenetes	COG0085	PRIMARY	1347	2136.4	1069	1	ADU66670.1	592.5
ACE03288.1	GCA_000020545.1_ASM2054v1	Chlorobium phaeobacteroides BS1	Bacteria	FCB group	COG0085	PRIMARY	1302	1981.6	1052	1	ACE03288.1	591.0
DKAC01000021.1_48	GCA_002448755.1_ASM244875v1	Candidatus Marinimicrobia bacterium UBA6936	Bacteria	FCB group	COG0085	PRIMARY	1259	1940.0	1048	1	DKAC01000021.1_48	591.0
PDM26929.1	GCA_002490245.1_ASM249024v1	Candidatus Bathyarchaeota archaeon B24-2	Archaea	TACK group	COG0085	PRIMARY	1114	1029.1	1041	1	PDM26929.1	598.5
ATF30801.1	GCA_002386185.1_ASM238618v1	Staphylococcus simulans	Bacteria	Terrabacteria group	COG0085	PRIMARY	1183	2191.4	1084	1	ATF30801.1	604.0
OGC08233.1	GCA_001772385.1_ASM177238v1	candidate division WOR-1 bacterium RIFOXYA2_FULL_36_21	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1067	1922.1	1054	1	OGC08233.1	607.0
AEH50945.1	GCA_000217815.1_ASM21781v1	Pseudothermotoga thermarum DSM 5069	Bacteria	Thermotogae	COG0085	PRIMARY	1172	1879.1	1061	1	AEH50945.1	595.5
ALQ38438.1	GCA_001455105.1_ASM145510v1	Fusobacterium hwasookii ChDC F300	Bacteria	Fusobacteria	COG0085	PRIMARY	1184	1975.0	1067	1	ALQ38438.1	600.5
SEO51204.1	GCA_900110465.1_IMG-taxon_2617270928_annotated_assembly	Halogranum amylolyticum	Archaea	Euryarchaeota	COG0085	MAIN	608	647.5	1050	2	SEO51175.1;SEO51204.1	292.0;817.5
SEO51175.1	GCA_900110465.1_IMG-taxon_2617270928_annotated_assembly	Halogranum amylolyticum	Archaea	Euryarchaeota	COG0085	SECO	521	298.3	446	1	1	1
ACK42254.1	GCA_000021645.1_ASM2164v1	Dictyoglomus turgidum DSM 6724	Bacteria	Dictyoglomi	COG0085	PRIMARY	1070	1903.4	1038	1	ACK42254.1	598.0
AHE59809.1	GCA_000512125.1_ASM51212v1	Escherichia albertii KF1	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2153.7	1055	1	AHE59809.1	590.5
GAK54317.1	GCA_000739515.1_ASM73951v1	Candidatus Moduliflexus flocculans	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1529	2102.2	1055	1	GAK54317.1	591.5
APW61212.1	GCA_001956985.1_ASM195698v1	Paludisphaera borealis	Bacteria	PVC group	COG0085	PRIMARY	1239	1848.4	1050	1	APW61212.1	593.0
ABL77696.1	GCA_000015225.1_ASM1522v1	Thermofilum pendens Hrk 5	Archaea	TACK group	COG0085	PRIMARY	1130	1022.5	1051	1	ABL77696.1	594.5
LK053000.1_1674	GCA_000723845.1_PRJEB5511_assembly_1	Haloferax alexandrinus	Archaea	Euryarchaeota	COG0085	SECO	522	294.6	447	1	1	1
LK053000.1_1675	GCA_000723845.1_PRJEB5511_assembly_1	Haloferax alexandrinus	Archaea	Euryarchaeota	COG0085	MAIN	610	661.8	1051	2	LK053000.1_1674;LK053000.1_1675	291.5;817.5
OHA82984.1	GCA_001823545.1_ASM182354v1	Candidatus Yonathbacteria bacterium RIFCSPLOWO2_01_FULL_43_27	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1049	1726.5	1051	1	OHA82984.1	592.5
AIR29572.1	GCA_000831305.1_ASM83130v1	Mycobacterium kansasii 824	Bacteria	Terrabacteria group	COG0085	PRIMARY	1148	2095.8	1075	1	AIR29572.1	604.5
OHA87257.1	GCA_001823665.1_ASM182366v1	Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_39_63	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1071	1722.3	1064	1	OHA87257.1	601.0
SFV72959.1	GCA_900116045.1_DESPIGER	Desulfovibrio piger	Bacteria	Proteobacteria	COG0085	PRIMARY	1378	2082.1	1056	1	SFV72959.1	597.0
ACD82859.1	GCA_000019665.1_ASM1966v1	Methylacidiphilum infernorum V4	Bacteria	PVC group	COG0085	PRIMARY	1289	2014.8	1053	1	ACD82859.1	591.5
AFL89897.1	GCA_000265425.1_ASM26542v1	Terriglobus roseus DSM 18391	Bacteria	Acidobacteria	COG0085	PRIMARY	1493	2110.3	1057	1	AFL89897.1	592.5
DBQJ01000003.1_52	GCA_002305205.1_ASM230520v1	candidate division WWE3 bacterium UBA1397	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1106	1582.4	1093	1	DBQJ01000003.1_52	615.5
AJC12252.1	GCA_000814825.1_ASM81482v1	Coriobacteriaceae bacterium 68-1-3	Bacteria	Terrabacteria group	COG0085	PRIMARY	1173	2071.4	1081	1	AJC12252.1	602.5
ACZ38465.1	GCA_000024985.1_ASM2498v1	Sphaerobacter thermophilus DSM 20745	Bacteria	Terrabacteria group	COG0085	PRIMARY	1159	2124.1	1062	1	ACZ38465.1	599.0
OHA79580.1	GCA_001823495.1_ASM182349v1	Candidatus Yonathbacteria bacterium RIFCSPHIGHO2_01_FULL_44_41	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1052	1725.6	1049	1	OHA79580.1	593.5
ALB42123.1	GCA_001277295.1_ASM127729v1	Anabaena sp. WA102	Bacteria	Terrabacteria group	COG0085	PRIMARY	1112	2024.8	1049	1	ALB42123.1	600.5
AGH82336.1	GCA_000153405.2_ASM15340v2	Psychromonas sp. CNPT3	Bacteria	Proteobacteria	COG0085	PRIMARY	1344	2074.7	1054	1	AGH82336.1	591.0
ALA95179.1	GCA_001274535.1_ASM127453v1	Leptotrichia sp. oral taxon 212	Bacteria	Fusobacteria	COG0085	PRIMARY	1148	1974.3	1061	1	ALA95179.1	597.5
ALW88118.1	GCA_001507665.1_ASM150766v1	Deinococcus actinosclerus	Bacteria	Terrabacteria group	COG0085	PRIMARY	1151	1844.6	1058	1	ALW88118.1	600.0
LKMS01000056.1_3	GCA_001563965.1_ASM156396v1	Haloferacaceae archaeon PL-Br10_E2g29	Archaea	Euryarchaeota	COG0085	MAIN	609	654.1	1050	2	LKMS01000056.1_2;LKMS01000056.1_3	292.0;817.0
LKMS01000056.1_2	GCA_001563965.1_ASM156396v1	Haloferacaceae archaeon PL-Br10_E2g29	Archaea	Euryarchaeota	COG0085	SECO	523	293.5	446	1	1	1
KE387269.1_51	GCA_000430905.1_ASM43090v1	Methanocorpusculum bavaricum DSM 4179	Archaea	Euryarchaeota	COG0085	SECO	517	297.1	438	1	1	1
KE387269.1_50	GCA_000430905.1_ASM43090v1	Methanocorpusculum bavaricum DSM 4179	Archaea	Euryarchaeota	COG0085	MAIN	638	646.4	1037	2	KE387269.1_51;KE387269.1_50	301.0;845.0
OYT43475.1	GCA_002254685.1_ASM225468v1	Candidatus Aenigmarchaeota archaeon ex4484_56	Archaea	DPANN group	COG0085	MAIN	599	568.1	1048	2	OYT43476.1;OYT43475.1	299.5;825.5
OYT43476.1	GCA_002254685.1_ASM225468v1	Candidatus Aenigmarchaeota archaeon ex4484_56	Archaea	DPANN group	COG0085	SECO	493	220.4	457	1	1	1
ASMP01000002.1_6	GCA_000405225.1_ASM40522v1	Nanoarchaeota archaeon SCGC AAA011-D5	Archaea	DPANN group	COG0085	PRIMARY	1087	781.9	1039	1	ASMP01000002.1_6	595.5
AGS61245.1	GCA_000444425.1_ASM44442v1	Proteus mirabilis BB2000	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2135.9	1055	1	AGS61245.1	590.5
SNR58718.1	GCA_900188075.1_IMG-taxon_2724679704_annotated_assembly	Halorubrum chaoviator	Archaea	Euryarchaeota	COG0085	MAIN	609	640.9	1043	2	SNR58735.1;SNR58718.1	295.5;817.0
SNR58735.1	GCA_900188075.1_IMG-taxon_2724679704_annotated_assembly	Halorubrum chaoviator	Archaea	Euryarchaeota	COG0085	SECO	521	296.8	439	1	1	1
ABQ89670.1	GCA_000016665.1_ASM1666v1	Roseiflexus sp. RS-1	Bacteria	Terrabacteria group	COG0085	PRIMARY	1229	2117.2	1065	1	ABQ89670.1	597.5
DIWH01000019.1_11	GCA_002423485.1_ASM242348v1	bacterium UBP9_UBA6111	Bacteria	unclassified Bacteria	COG0085	MAIN	754	1096.5	1064	2	DIWH01000019.1_10;DIWH01000019.1_11	277.0;832.5
DIWH01000019.1_10	GCA_002423485.1_ASM242348v1	bacterium UBP9_UBA6111	Bacteria	unclassified Bacteria	COG0085	SECO	489	654.3	422	1	1	1
EGQ42889.1	GCA_000220375.1_ASM22037v1	Candidatus Nanosalina sp. J07AB43	Archaea	DPANN group	COG0085	MAIN	598	516.5	1037	2	EGQ42887.1;EGQ42889.1	301.0;841.5
EGQ42887.1	GCA_000220375.1_ASM22037v1	Candidatus Nanosalina sp. J07AB43	Archaea	DPANN group	COG0085	SECO	485	258.8	438	1	1	1
MTMV01000067.1_38	GCA_002011295.1_ASM201129v1	Archaeoglobus sp. JdFR-34	Archaea	Euryarchaeota	COG0085	SECO	510	327.9	440	1	1	1
MTMV01000067.1_37	GCA_002011295.1_ASM201129v1	Archaeoglobus sp. JdFR-34	Archaea	Euryarchaeota	COG0085	MAIN	604	690.8	1039	2	MTMV01000067.1_38;MTMV01000067.1_37	300.0;817.5
ATH70792.1	GCA_002443015.1_ASM244301v1	Bacillus altitudinis	Bacteria	Terrabacteria group	COG0085	PRIMARY	1193	2203.0	1080	1	ATH70792.1	602.0
AHJP01000004.1_1026	GCA_000245195.2_ASM24519v2	Sulfolobus islandicus M.16.30	Archaea	TACK group	COG0085	PRIMARY	1129	1072.9	1050	1	AHJP01000004.1_1026	595.0
ADD72380.1	GCA_000024485.1_ASM2448v1	Treponema pallidum subsp. pallidum str. Chicago	Bacteria	Spirochaetes	COG0085	PRIMARY	1178	1927.2	1065	1	ADD72380.1	599.5
ADP77452.1	GCA_000166095.1_ASM16609v1	Methanothermus fervidus DSM 2088	Archaea	Euryarchaeota	COG0085	SECO	513	333.1	448	1	1	1
ADP77451.1	GCA_000166095.1_ASM16609v1	Methanothermus fervidus DSM 2088	Archaea	Euryarchaeota	COG0085	MAIN	604	724.1	1046	2	ADP77452.1;ADP77451.1	298.0;818.0
CUQ66697.1	GCA_001458695.1_NiCh1	Candidatus Nitrospira inopinata	Bacteria	Nitrospirae	COG0085	PRIMARY	1318	2162.7	1050	1	CUQ66697.1	592.0
LDXU01000005.1_103	GCA_001442855.1_ASM144285v1	Candidatus Thermokryptus mobilis	Bacteria	FCB group	COG0085	PRIMARY	1261	2056.5	1052	1	LDXU01000005.1_103	590.0
KPL08364.1	GCA_001304185.1_ASM130418v1	candidate division TA06 bacterium SM1_40	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1258	2071.9	1051	1	KPL08364.1	592.5
AAX16898.1	GCA_000012065.2_ASM1206v2	Borrelia hermsii DAH	Bacteria	Spirochaetes	COG0085	PRIMARY	1155	1939.2	1058	1	AAX16898.1	602.0
ATH85398.1	GCA_002442515.1_ASM244251v1	Brochothrix thermosphacta	Bacteria	Terrabacteria group	COG0085	PRIMARY	1186	2178.7	1080	1	ATH85398.1	601.0
CAF30918.1	GCA_000011585.1_ASM1158v1	Methanococcus maripaludis S2	Archaea	Euryarchaeota	COG0085	MAIN	611	668.2	1041	2	CAF30917.1;CAF30918.1	299.0;831.0
CAF30917.1	GCA_000011585.1_ASM1158v1	Methanococcus maripaludis S2	Archaea	Euryarchaeota	COG0085	SECO	499	334.8	442	1	1	1
ABV33044.1	GCA_000017865.1_ASM1786v1	Pseudothermotoga lettingae TMO	Bacteria	Thermotogae	COG0085	PRIMARY	1172	1875.5	1061	1	ABV33044.1	595.5
SMH32041.1	GCA_900177455.1_IMG-taxon_2706794887_annotated_assembly	Methanohalophilus portucalensis FDF-1	Archaea	Euryarchaeota	COG0085	MAIN	605	670.3	1036	2	SMH32047.1;SMH32041.1	299.0;846.0
SMH32047.1	GCA_900177455.1_IMG-taxon_2706794887_annotated_assembly	Methanohalophilus portucalensis FDF-1	Archaea	Euryarchaeota	COG0085	SECO	546	318.7	432	1	1	1
AKC83489.1	GCA_000972765.1_ASM97276v1	Verrucomicrobia bacterium IMCC26134	Bacteria	PVC group	COG0085	PRIMARY	1283	2018.8	1056	1	AKC83489.1	593.0
CAC11534.1	GCA_000195915.1_ASM19591v1	Thermoplasma acidophilum DSM 1728	Archaea	Euryarchaeota	COG0085	PRIMARY	1195	1028.7	1038	1	CAC11534.1	600.0
SNY21500.1	GCA_900215215.1_IMG-taxon_2703719067_annotated_assembly	Methanohalophilus euhalobius	Archaea	Euryarchaeota	COG0085	MAIN	605	670.4	1036	2	SNY21503.1;SNY21500.1	299.0;846.5
SNY21503.1	GCA_900215215.1_IMG-taxon_2703719067_annotated_assembly	Methanohalophilus euhalobius	Archaea	Euryarchaeota	COG0085	SECO	546	318.3	432	1	1	1
ADG81174.1	GCA_000092945.1_ASM9294v1	Thermincola potens JR	Bacteria	Terrabacteria group	COG0085	PRIMARY	1116	2292.2	1102	1	ADG81174.1	615.0
AQXG01000009.1_8	GCA_000375425.1_ASM37542v1	Gracilimonas tropica DSM 19535	Bacteria	Balneolaeota	COG0085	PRIMARY	1272	1983.4	1049	1	AQXG01000009.1_8	590.5
AEW68726.1	GCA_000239475.1_ASM23947v1	Borrelia garinii BgVir	Bacteria	Spirochaetes	COG0085	PRIMARY	1155	1935.9	1057	1	AEW68726.1	601.5
ACP46243.1	GCA_000022465.1_ASM2246v1	Sulfolobus islandicus Y.G.57.14	Archaea	TACK group	COG0085	PRIMARY	1131	1069.2	1051	1	ACP46243.1	594.5
SNV82649.1	GCA_900187015.1_50465_F01	Serratia ficaria	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2142.2	1055	1	SNV82649.1	590.5
DHXN01000015.1_59	GCA_002413705.1_ASM241370v1	Candidatus Nomurabacteria bacterium UBA5155	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1069	1734.5	1057	1	DHXN01000015.1_59	591.5
OGZ77981.1	GCA_001822025.1_ASM182202v1	Candidatus Staskawiczbacteria bacterium RIFOXYB1_FULL_32_11	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1085	1760.7	1051	1	OGZ77981.1	594.5
AKB85699.1	GCA_000970325.1_ASM97032v1	Methanococcoides methylutens MM1	Archaea	Euryarchaeota	COG0085	MAIN	604	661.0	1033	2	AKB85700.1;AKB85699.1	300.5;852.5
AKB85700.1	GCA_000970325.1_ASM97032v1	Methanococcoides methylutens MM1	Archaea	Euryarchaeota	COG0085	SECO	534	315.4	429	1	1	1
BAF71091.1	GCA_000010345.1_ASM1034v1	Sulfurovum sp. NBC37-1	Bacteria	Proteobacteria	COG0085	PRIMARY	1385	1975.5	1061	1	BAF71091.1	593.5
PAP76749.1	GCA_002283365.1_ASM228336v1	Rubrivirga marina	Bacteria	Rhodothermaeota	COG0085	PRIMARY	1288	2009.3	1052	1	PAP76749.1	589.0
ABN07331.1	GCA_000015765.1_ASM1576v1	Methanocorpusculum labreanum Z	Archaea	Euryarchaeota	COG0085	MAIN	637	649.9	1037	2	ABN07332.1;ABN07331.1	301.0;821.0
ABN07332.1	GCA_000015765.1_ASM1576v1	Methanocorpusculum labreanum Z	Archaea	Euryarchaeota	COG0085	SECO	516	297.3	438	1	1	1
ADD08900.1	GCA_000025665.1_ASM2566v1	Aciduliprofundum boonei T469	Archaea	Euryarchaeota	COG0085	PRIMARY	1201	1016.6	1036	1	ADD08900.1	600.0
